base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
3clusters_3outliers,logreg,4,t17,Logistic_Dirty,0.6504477600880125,0.6861152882205513,0.6693536694701642,0.2266271650953047,"{""lam1"": 0.10389628852446214, ""lam2"": 1.5601048792850032, ""max_iter"": 450, ""tol"": 0.0005581106294563239, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t17,Logistic_L21,0.6511039526120698,0.6869172932330827,0.670488522257939,0.2266452795480334,"{""lam"": 0.09909446115603089, ""max_iter"": 865, ""tol"": 0.0005633029271431001, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t17,Logistic_rMTFL,0.6508787035618612,0.68671679197995,0.670174555666208,0.2266301640471626,"{""tau"": 5.487496420484234, ""lam"": 0.10060687633010572, ""max_iter"": 828, ""tol"": 0.00038779914998027416, ""tau_init"": 37.72416881635474, ""cont_factor"": 0.42221577806542554, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t17,Single_Task,0.6496631263820354,0.6829072681704261,0.6616287787529318,0.2266747773192205,
3clusters_3outliers,logreg,4,t18,ATL_selector,0.653591421137016,0.6478287337662338,0.6000973119140267,0.2304671024268575,
3clusters_3outliers,logreg,4,t18,Logistic_Dirty,0.6537679257064282,0.6654829545454546,0.6071145044665656,0.229616644948137,"{""lam1"": 0.09924303515020394, ""lam2"": 1.9660162870361866, ""max_iter"": 1021, ""tol"": 8.346858126630463e-06, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t18,Logistic_L21,0.654536612228211,0.6651785714285714,0.60584117182065,0.2298934246860059,"{""lam"": 0.09926414346523028, ""max_iter"": 1094, ""tol"": 0.0002760642413126645, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t18,Logistic_rMTFL,0.6549574902828783,0.6654829545454545,0.6062517532459037,0.2299722103090742,"{""tau"": 2.0918809618547107, ""lam"": 0.09717207080335577, ""max_iter"": 1263, ""tol"": 0.00014940340604242862, ""tau_init"": 23.391680234513053, ""cont_factor"": 0.7553046029674638, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t18,Single_Task,0.6485597756345207,0.6707589285714286,0.6220251090088351,0.2267564904453076,
3clusters_3outliers,logreg,4,t19,ATL_selector,0.6491922932660685,0.6761704681872748,0.6823022637730574,0.2285712116248252,
3clusters_3outliers,logreg,4,t19,Logistic_Dirty,0.6763641397807327,0.6119447779111644,0.62378368542022,0.2415454370579086,"{""lam1"": 0.5495653878722669, ""lam2"": 0.08437950075402673, ""max_iter"": 1363, ""tol"": 0.0004743994225699785, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t19,Logistic_L21,0.6931471805599452,0.5,0.49,0.25,"{""lam"": 26.701137911139956, ""max_iter"": 774, ""tol"": 2.536706972458037e-05, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t19,Logistic_rMTFL,0.6913366621913104,0.5928371348539415,0.549500896089236,0.2490946195218804,"{""tau"": 9.00883721513409, ""lam"": 0.38023212257414307, ""max_iter"": 739, ""tol"": 1.0828354695747866e-05, ""tau_init"": 70.81903963469259, ""cont_factor"": 0.8452851504383146, ""standardize"": false, ""random_state"": 42}"
3clusters_3outliers,logreg,4,t19,Single_Task,0.6565154156879092,0.6773709483793517,0.668228505618063,0.2316987817039272,
3clusters_3outliers,logreg,4,t2,ATL_selector,0.606852233973012,0.7315335206744279,0.7591047848048622,0.2100828252762784,
